Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,26,2006,4,371,41.36,28.96,3.77,8.45,82.53,76,51,8,322,1033,2
Super Mario Bros.,13,1985,5,371,29.08,3.58,6.81,0.77,40.24,,,,,,
Mario Kart Wii,26,2008,10,371,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,1033,2
Wii Sports Resort,26,2009,4,371,15.61,10.93,3.28,2.95,32.77,80,73,8,192,1033,2
Pokemon Red/Pokemon Blue,7,1996,8,371,11.27,8.89,10.22,1,31.37,,,,,,
Tetris,7,1989,6,371,23.2,2.26,4.22,0.58,30.26,,,,,,
New Super Mario Bros.,18,2006,5,371,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,1033,2
Wii Play,26,2006,7,371,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,1033,2
New Super Mario Bros. Wii,26,2009,5,371,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,1033,2
Duck Hunt,13,1984,9,371,26.93,0.63,0.28,0.47,28.31,,,,,,
Nintendogs,18,2005,11,371,9.05,10.95,1.93,2.74,24.67,,,,,,
Mario Kart DS,18,2005,10,371,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,1033,2
Pokemon Gold/Pokemon Silver,7,1999,8,371,9,6.18,7.2,0.71,23.1,,,,,,
Wii Fit,26,2007,4,371,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,1033,2
Kinect Adventures!,29,2010,7,330,15,4.89,0.24,1.69,21.81,61,45,6.3,106,619,2
Wii Fit Plus,26,2009,4,371,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,1033,2
Grand Theft Auto V,19,2013,1,502,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,1237,6
Grand Theft Auto: San Andreas,6,2004,1,502,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,1237,6
Super Mario World,24,1990,5,371,12.78,3.75,3.54,0.55,20.61,,,,,,
Brain Age: Train Your Brain in Minutes a Day,18,2005,7,371,4.74,9.2,4.16,2.04,20.15,77,58,7.9,50,1033,2
Pokemon Diamond/Pokemon Pearl,18,2006,8,371,6.38,4.46,6.04,1.36,18.25,,,,,,
Super Mario Land,7,1989,5,371,10.83,2.71,4.18,0.42,18.14,,,,,,
Super Mario Bros. 3,13,1988,5,371,9.54,3.44,3.84,0.46,17.28,,,,,,
Grand Theft Auto V,29,2013,1,502,9.66,5.14,0.06,1.41,16.27,97,58,8.1,3711,1237,6
Grand Theft Auto: Vice City,6,2002,1,502,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,1237,6
Pokemon Ruby/Pokemon Sapphire,8,2002,8,371,6.06,3.9,5.38,0.5,15.85,,,,,,
Brain Age 2: More Training in Minutes a Day,18,2005,6,371,3.43,5.35,5.32,1.18,15.29,77,37,7.1,19,1033,2
Pokemon Black/Pokemon White,18,2010,8,371,5.51,3.17,5.65,0.8,15.14,,,,,,
Gran Turismo 3: A-Spec,6,2001,10,467,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,1145,2
Call of Duty: Modern Warfare 3,29,2011,9,17,9.04,4.24,0.13,1.32,14.73,88,81,3.4,8713,733,6
Pokémon Yellow: Special Pikachu Edition,7,1998,8,371,5.89,5.04,3.12,0.59,14.64,,,,,,
Call of Duty: Black Ops 3,20,2015,9,17,6.03,5.86,0.36,2.38,14.63,,,,,,
Call of Duty: Black Ops,29,2010,9,17,9.7,3.68,0.11,1.13,14.61,87,89,6.3,1454,1530,6
Pokemon X/Pokemon Y,4,2013,8,371,5.28,4.19,4.35,0.78,14.6,,,,,,
Call of Duty: Black Ops II,19,2012,9,17,4.99,5.73,0.65,2.42,13.79,83,21,5.3,922,1530,6
Call of Duty: Black Ops II,29,2012,9,17,8.25,4.24,0.07,1.12,13.67,83,73,4.8,2256,1530,6
Call of Duty: Modern Warfare 2,29,2009,9,17,8.52,3.59,0.08,1.28,13.47,94,100,6.3,2698,732,6
Call of Duty: Modern Warfare 3,19,2011,9,17,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5234,733,6
Grand Theft Auto III,6,2001,1,502,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664,409,6
Super Smash Bros. Brawl,26,2008,3,371,6.62,2.55,2.66,1.01,12.84,93,81,8.9,1662,576,8
Mario Kart 7,4,2011,10,371,5.03,4.02,2.69,0.91,12.66,85,73,8.2,632,1227,2
Call of Duty: Black Ops,19,2010,9,17,5.99,4.37,0.48,1.79,12.63,88,58,6.4,1094,1530,6
Grand Theft Auto V,20,2014,1,502,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,1237,6
Animal Crossing: Wild World,18,2005,11,371,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,1033,2
Halo 3,29,2007,9,330,7.97,2.81,0.13,1.21,12.12,94,86,7.8,4100,259,6
Super Mario 64,12,1996,5,371,6.91,2.85,1.91,0.23,11.89,,,,,,
Pokemon HeartGold/Pokemon SoulSilver,18,2009,1,371,4.34,2.71,3.96,0.76,11.77,,,,,,
Pokemon Omega Ruby/Pokemon Alpha Sapphire,4,2014,8,371,4.35,3.49,3.1,0.74,11.68,,,,,,
Gran Turismo 4,6,2004,10,467,3.01,0.01,1.1,7.53,11.66,89,74,8.5,272,1145,2
Super Mario Galaxy,26,2007,5,371,6.06,3.35,1.2,0.74,11.35,97,73,8.9,2147,1033,2
Super Mario Land 2: 6 Golden Coins,7,1992,2,371,6.16,2.04,2.69,0.29,11.18,,,,,,
Grand Theft Auto IV,29,2008,1,502,6.76,3.07,0.14,1.03,11.01,98,86,7.9,2951,1237,6
Gran Turismo,17,1997,10,467,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,1145,2
Super Mario 3D Land,4,2011,5,371,4.89,3,2.14,0.78,10.81,90,82,8.4,921,1033,2
Gran Turismo 5,19,2010,10,467,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1112,1145,2
Call of Duty: Modern Warfare 2,19,2009,9,17,4.99,3.64,0.38,1.6,10.6,94,67,6.3,2073,732,6
Super Mario All-Stars,24,1993,5,371,5.99,2.15,2.12,0.29,10.55,,,,,,
Grand Theft Auto IV,19,2008,1,502,4.76,3.69,0.44,1.61,10.5,98,64,7.5,2833,1237,6
Pokemon FireRed/Pokemon LeafGreen,8,2004,8,371,4.34,2.65,3.15,0.35,10.49,,,,,,
Super Mario 64,18,2004,5,371,5.01,3.07,1.25,0.97,10.3,,,,,,
Call of Duty: Ghosts,29,2013,9,17,6.73,2.56,0.04,0.91,10.25,73,29,2.6,2117,732,6
Just Dance 3,26,2011,7,536,5.95,3.11,0,1.06,10.12,74,15,7.8,16,1552,3
New Super Mario Bros. 2,4,2012,5,371,3.66,3.14,2.47,0.63,9.9,78,70,7.2,424,1033,2
Mario Kart 64,12,1996,10,371,5.55,1.94,2.23,0.15,9.87,,,,,,
Halo: Reach,29,2010,9,330,7.04,1.95,0.08,0.79,9.86,91,99,7.9,2045,257,6
Final Fantasy VII,17,1997,8,467,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,1386,8
Halo 4,29,2012,9,330,6.65,2.28,0.04,0.74,9.71,87,87,7,3260,19,6
Gran Turismo 2,17,1999,10,467,3.88,3.42,1.69,0.5,9.49,93,23,9,135,1145,8
Just Dance 2,26,2010,7,536,5.8,2.85,0.01,0.78,9.44,74,24,7.3,24,1552,3
Call of Duty: Ghosts,19,2013,9,17,4.1,3.63,0.38,1.25,9.36,71,10,2.6,1047,732,6
Call of Duty 4: Modern Warfare,29,2007,9,17,5.93,2.36,0.13,0.9,9.31,94,70,8.4,1320,732,6
Donkey Kong Country,24,1994,5,371,4.36,1.71,3,0.23,9.3,,,,,,
Minecraft,29,2013,7,330,5.7,2.65,0.02,0.81,9.18,,,,,,
Animal Crossing: New Leaf,4,2012,11,371,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,1033,2
Mario Party DS,18,2007,7,371,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,687,2
The Elder Scrolls V: Skyrim,29,2011,8,65,5.05,2.79,0.1,0.85,8.79,96,89,8.4,3589,175,6
Super Mario Kart,24,1992,10,371,3.54,1.24,3.81,0.18,8.76,,,,,,
FIFA 16,20,2015,4,140,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,451,2
Halo 2,30,2004,9,330,6.82,1.53,0.05,0.08,8.49,95,91,8.2,1218,258,6
Wii Party,26,2010,7,371,1.75,3.47,2.49,0.67,8.38,68,42,7.4,54,1004,2
Mario Party 8,26,2007,7,371,3.74,2.24,1.58,0.7,8.27,62,41,6.3,190,685,2
FIFA Soccer 13,19,2012,1,140,1.06,5.01,0.13,1.97,8.16,88,37,6.6,348,479,2
GoldenEye 007,12,1997,9,371,5.8,2.01,0.13,0.15,8.09,,,,,,
Pokemon Black 2/Pokemon White 2,18,2012,8,371,2.79,1.72,3.14,0.41,8.07,,,,,,
Final Fantasy X,6,2001,8,467,2.91,2.07,2.73,0.33,8.05,92,53,8.7,1056,1386,8
The Sims 3,15,2009,11,140,0.99,6.42,0,0.6,8.01,86,75,7.6,886,1490,8
Mario & Sonic at the Olympic Games,26,2007,4,455,2.57,3.86,0.66,0.91,7.99,,,,,,
Star Wars Battlefront (2015),20,2015,9,140,2.99,3.49,0.22,1.28,7.98,,,,,,
Final Fantasy VIII,17,1999,8,479,2.28,1.72,3.63,0.23,7.86,90,24,8.6,644,1386,8
Pac-Man,1,1982,6,54,7.28,0.45,0,0.08,7.81,,,,,,
Pokémon Platinum Version,18,2008,8,371,2.76,1.72,2.69,0.54,7.72,83,46,8.5,203,580,2
Grand Theft Auto: Liberty City Stories,21,2005,1,502,2.9,2.81,0.24,1.73,7.69,88,65,7.6,451,1235,6
Call of Duty: Advanced Warfare,20,2014,9,17,2.81,3.48,0.14,1.23,7.66,83,39,5.7,1443,1338,6
The Legend of Zelda: Ocarina of Time,12,1998,1,371,4.1,1.89,1.45,0.16,7.6,,,,,,
FIFA 17,20,2016,4,140,0.66,5.75,0.08,1.11,7.59,85,41,5,398,454,2
Crash Bandicoot 2: Cortex Strikes Back,17,1997,5,467,3.78,2.17,1.31,0.31,7.58,,,,,,
Super Smash Bros. for Wii U and 3DS,4,2014,3,371,3.27,1.37,2.43,0.48,7.55,,,,,,
Super Mario Galaxy 2,26,2010,5,371,3.56,2.35,0.98,0.62,7.51,97,87,9.1,1854,1034,2
Super Mario Bros. 2,13,1988,5,371,5.39,1.18,0.7,0.19,7.46,,,,,,
Call of Duty: Black Ops 3,31,2015,9,17,4.59,2.11,0.01,0.68,7.39,,,,,,
Call of Duty: World at War,29,2008,9,17,4.81,1.88,0,0.69,7.38,84,84,7.6,580,1530,6
Battlefield 3,29,2011,9,140,4.46,2.11,0.06,0.69,7.32,84,57,7.4,2142,439,6
Need for Speed Underground,6,2003,10,140,3.27,2.83,0.08,1.02,7.2,85,33,8.6,171,431,2
Just Dance,26,2009,7,536,3.48,2.99,0,0.73,7.2,49,21,8,110,1563,3
Battlefield 3,19,2011,9,140,2.85,2.89,0.35,1.08,7.17,85,38,7.5,1761,439,6
Fallout 4,20,2015,8,65,2.53,3.27,0.24,1.13,7.16,87,58,6.5,4228,175,6
Tekken 3,17,1998,3,467,3.27,2.22,1.4,0.29,7.16,96,15,9.1,367,987,8
The Legend of Zelda: Twilight Princess,26,2006,1,371,3.74,2.14,0.6,0.68,7.15,95,73,9,1658,1033,8
Pokemon Sun/Moon,4,2016,8,371,2.98,1.45,2.26,0.45,7.14,,,,,,
Crash Bandicoot 3: Warped,17,1998,5,467,3.68,1.75,1.42,0.28,7.13,91,12,8.9,432,999,2
Mario Kart 8,27,2014,10,371,3.15,2.15,1.28,0.51,7.09,88,82,9.1,1599,1033,2
Super Smash Bros. Melee,9,2001,3,371,4.41,1.04,1.39,0.22,7.07,92,38,9.1,568,645,8
Mario Kart: Double Dash!!,9,2003,10,371,4.12,1.77,0.87,0.19,6.95,,,,,,
Need for Speed Underground 2,6,2004,10,140,2.71,3.02,0.08,1.09,6.9,82,39,8.6,132,433,2
Medal of Honor: Frontline,6,2002,9,140,2.93,2.75,0.17,0.99,6.83,88,29,8.5,135,443,8
Crash Bandicoot,17,1996,5,467,3.23,2.35,0.94,0.3,6.82,,,,,,
Just Dance 4,26,2012,7,536,4.05,2.16,0,0.55,6.76,74,10,7.3,28,1552,3
Gears of War 2,29,2008,9,330,4.15,1.9,0.06,0.64,6.75,93,90,7.7,2739,496,6
Uncharted 3: Drake's Deception,19,2011,1,467,2.77,2.75,0.19,1.03,6.74,92,97,8.3,3712,999,8
Zumba Fitness,26,2010,4,7,3.45,2.59,0,0.66,6.71,,,tbd,,1123,2
Call of Duty 4: Modern Warfare,19,2007,9,17,3.11,2.26,0.28,1.03,6.68,94,44,8.4,993,732,6
Uncharted 2: Among Thieves,19,2009,1,467,3.27,2.2,0.21,0.98,6.66,96,105,8.8,5187,999,8
FIFA 12,19,2011,4,140,0.84,4.3,0.11,1.39,6.65,,,,,,
Big Brain Academy,18,2005,7,371,1.66,2.75,1.6,0.62,6.62,74,45,7.4,27,1033,2
The Legend of Zelda,13,1986,1,371,3.74,0.93,1.69,0.14,6.51,,,,,,
Red Dead Redemption,19,2010,1,502,2.79,2.53,0.17,0.99,6.49,95,73,8.8,2456,1238,6
FIFA 14,19,2013,4,140,0.78,4.24,0.07,1.37,6.47,86,37,4.3,576,433,2
Assassin's Creed III,19,2012,1,536,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,1552,6
Donkey Kong Country Returns,26,2010,5,371,3.17,1.79,1.03,0.46,6.44,87,77,8.6,368,1226,2
Halo: Combat Evolved,30,2001,9,330,4.98,1.3,0.08,0.07,6.43,97,68,8.6,1283,258,6
The Elder Scrolls V: Skyrim,19,2011,8,65,2.55,2.6,0.25,1,6.41,92,16,6.4,2527,175,6
Pokémon Emerald Version,8,2004,8,371,2.57,1.58,2.06,0.21,6.41,76,28,9,222,580,2
Kingdom Hearts,6,2002,8,467,3.64,1.2,1.49,0.07,6.4,85,46,8.8,597,1386,2
Pokémon Crystal Version,7,2000,8,371,2.55,1.56,1.29,0.99,6.39,,,,,,
Halo 3: ODST,29,2009,9,330,4.34,1.34,0.06,0.61,6.34,83,94,7.1,1163,259,6
Red Dead Redemption,29,2010,1,502,3.7,1.95,0.09,0.58,6.32,95,96,9,2316,1238,6
Super Mario Sunshine,9,2002,5,371,4.01,1.26,0.87,0.17,6.31,92,61,8.6,439,1033,2
Street Fighter II: The World Warrior,24,1992,3,82,2.47,0.83,2.87,0.12,6.3,,,,,,
World of Warcraft,15,2004,8,17,0.08,6.21,0,0,6.29,93,57,7.3,2182,218,8
Driver,17,1999,1,212,3.11,2.8,0.02,0.33,6.27,87,22,8.1,78,1217,8
Gears of War 3,29,2011,9,330,4.05,1.59,0.07,0.5,6.21,91,96,7.8,1504,496,6
Kinect Sports,29,2010,4,330,3.92,1.73,0.03,0.51,6.19,73,51,7.4,95,1184,3
Gears of War,29,2006,9,330,3.54,1.88,0.07,0.6,6.09,94,88,8.3,2295,496,6
FIFA 15,20,2014,4,140,0.8,4.33,0.05,0.9,6.08,82,47,5.7,988,451,2
Metal Gear Solid 2: Sons of Liberty,6,2001,1,284,2.45,2.01,0.87,0.72,6.05,96,42,8.7,1026,804,6
Sonic the Hedgehog 2,10,1992,5,455,4.47,1.2,0.16,0.19,6.03,,,,,,
Metal Gear Solid,17,1998,1,284,3.18,1.83,0.78,0.24,6.03,94,20,9.4,918,804,6
Metal Gear Solid 4: Guns of the Patriots,19,2008,1,284,2.63,1.71,0.83,0.82,5.99,94,82,8.7,3558,823,6
Final Fantasy XII,6,2006,8,477,1.88,0,2.33,1.74,5.95,92,64,7.6,972,1381,8
The Last of Us,19,2013,1,469,2.41,2.18,0.28,0.99,5.87,95,98,9.1,8003,999,6
LittleBigPlanet,19,2008,5,467,2.8,1.98,0.17,0.87,5.82,95,85,6.8,5311,1278,2
Resident Evil 2,17,1998,1,556,1.88,1.47,2.02,0.45,5.82,89,13,9.2,364,265,6
Dragon Quest IX: Sentinels of the Starry Skies,18,2009,8,371,0.63,0.67,4.35,0.15,5.78,87,65,8.8,197,854,3
Tekken 2,17,1996,3,467,2.26,1.89,1.36,0.23,5.74,89,8,8.9,102,987,8
Destiny,20,2014,9,17,2.49,2.07,0.16,0.92,5.64,76,95,6.1,5380,259,8
LEGO Star Wars: The Complete Saga,26,2007,1,298,3.57,1.55,0,0.51,5.64,80,17,8.9,62,1527,3
Cooking Mama,18,2006,11,7,3.07,1.91,0.07,0.57,5.63,67,35,7.2,21,1439,2
Tetris,13,1988,6,371,2.97,0.69,1.81,0.11,5.58,,,,,,
Super Smash Bros.,12,1999,3,371,2.95,0.6,1.97,0.04,5.55,,,,,,
Assassin's Creed II,19,2009,1,536,2.54,1.93,0.21,0.86,5.55,91,70,8.6,1202,1560,6
Assassin's Creed,29,2007,2,536,3.28,1.64,0.07,0.56,5.54,81,77,7.7,1074,1560,6
Forza Motorsport 3,29,2009,10,330,2.99,1.9,0.1,0.5,5.49,92,90,8,516,1546,2
Super Mario Advance,8,2001,5,371,3.14,1.24,0.91,0.2,5.49,84,19,7.8,41,1033,2
Monster Hunter Freedom Unite,21,2008,8,82,0.47,0.55,4.13,0.34,5.48,81,48,8.7,124,265,8
Batman: Arkham City,19,2011,1,563,2.71,1.85,0.11,0.81,5.48,96,42,8.6,2162,1244,8
Grand Theft Auto V,31,2014,1,502,2.81,2.19,0,0.47,5.48,97,14,7.9,764,1237,6
Mario Kart: Super Circuit,8,2001,10,371,2.62,1.64,0.99,0.23,5.47,93,24,8.3,108,741,2
Super Mario World,8,2001,5,371,3.21,1.11,0.95,0.2,5.46,,,,,,
Pokemon Stadium,12,1999,13,371,3.18,1.24,0.94,0.09,5.45,,,,,,
Crash Bandicoot: The Wrath of Cortex,6,2001,5,543,2.07,2.29,0.24,0.82,5.42,66,22,7.1,156,1527,2
Call of Duty: World at War,19,2008,9,17,2.73,1.83,0,0.83,5.39,85,45,7.6,409,1530,6
Uncharted 4: A Thief's End,20,2016,9,467,1.85,2.5,0.19,0.85,5.38,93,113,7.9,7064,999,8
Dr. Mario,7,1989,6,371,2.18,0.96,2,0.2,5.34,,,,,,
Final Fantasy XIII,19,2009,8,477,1.74,1.21,1.87,0.51,5.33,83,83,7.3,2483,1381,8
Pokemon Pinball,7,1999,7,371,3.02,1.12,1.01,0.16,5.31,,,,,,
Final Fantasy IX,17,2000,8,479,1.62,0.77,2.78,0.14,5.3,94,22,8.9,779,1386,8
Assassin's Creed III,29,2012,1,536,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,1552,6
Final Fantasy X-2,6,2003,8,140,1.92,1.08,2.11,0.17,5.29,85,45,6.6,400,1386,8
Donkey Kong 64,12,1999,5,371,3.33,0.79,1.09,0.06,5.27,,,,,,
Call of Duty: Advanced Warfare,31,2014,9,17,3.22,1.55,0.01,0.48,5.27,81,53,5.4,898,1338,6
Minecraft,19,2014,7,467,2.03,2.37,0,0.87,5.26,,,,,,
Assassin's Creed II,29,2009,1,536,3.11,1.55,0.08,0.51,5.26,90,82,8.8,1305,1560,6
Tomb Raider II,17,1997,1,139,2.3,2.46,0.2,0.28,5.24,85,13,,,323,8
Madden NFL 2004,6,2004,4,140,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140,455,2
Tomodachi Life,4,2013,11,371,0.97,2.11,1.9,0.24,5.23,,,,,,
New Super Mario Bros. U,27,2012,5,371,2.3,1.34,1.27,0.32,5.22,84,70,8.1,733,1033,2
Dragon Quest VIII: Journey of the Cursed King,6,2004,8,477,0.65,0.75,3.61,0.2,5.21,89,63,8.8,245,854,8
Super Mario Bros. 3,8,2003,5,371,2.93,1.25,0.83,0.2,5.2,,,,,,
Professor Layton and the Curious Village,18,2007,6,371,1.21,2.43,1.03,0.52,5.19,85,72,8.6,147,854,2
Super Mario Land 3: Wario Land,7,1994,5,371,2.49,0.98,1.57,0.15,5.19,,,,,,
FIFA Soccer 13,29,2012,1,140,1.09,3.47,0.03,0.57,5.16,90,48,6.1,403,479,2
Donkey Kong Country 2: Diddy's Kong Quest,24,1995,5,371,2.1,0.74,2.2,0.11,5.15,,,,,,
Diablo III,15,2012,8,17,2.44,2.16,0,0.54,5.14,88,86,4,9629,218,6
Medal of Honor: Rising Sun,6,2003,9,140,1.98,2.23,0.13,0.8,5.13,68,30,7.6,100,443,8
Kirby's Dream Land,7,1992,5,371,2.71,0.61,1.7,0.11,5.13,,,,,,
Microsoft Flight Simulator,15,1996,11,330,3.22,1.69,0,0.2,5.12,,,,,,
Guitar Hero II,6,2006,7,437,3.81,0.63,0,0.68,5.12,92,69,8.5,112,652,8
Fable III,29,2010,8,330,3.59,1.08,0.05,0.38,5.1,80,88,6.5,604,862,6
Mario & Sonic at the Olympic Games,18,2008,4,455,1.63,2.45,0.44,0.57,5.09,,,,,,